date,language,type,title,by,overall,quality,repeatability
2007-08-04,Tamil,movie,Mahadevi,"MGR, Savithri, PS Veerappa",3.0,3.0,1
2007-08-04,English,fiction,The Runaway Jury,John Grisham,3.0,3.0,2
2007-08-03,English,movie,Mr. Deeds Goes to Town,"Frank Capra, Gary Cooper, Jean Arthur",3.0,3.0,2
2007-08-02,English,fiction,How to be Good,Nick Hornby,4.0,4.0,2
2007-08-01,English,movie,Two for the Money,Al Pacino,3.0,3.0,2
2007-07-31,English,movie,Shaun of the Dead,"Edgar Wright, Simon Pegg",3.0,3.0,1
2007-07-31,English,movie,The Simpsons Movie,Unknown,4.0,3.0,2
2007-07-30,English,movie,Equilibrium,Christian Bale,3.0,3.0,2
2007-07-29,English,movie,Following,Christopher Nolan,4.0,4.0,2
2007-07-29,English,movie,Meet John Doe,"Frank Capra, Gary Cooper",4.0,4.0,2
2007-07-29,English,movie,Hot Fuzz,"Edgar Wright, Simon Pegg",4.0,4.0,2
2007-07-29,English,movie,Ghostbusters,"Bill Murray, Dan Ackroyd, Sigourney Weaver",3.0,2.0,2
2007-07-28,English,movie,You Can't Take It with You,"Frank Capra, James Stewart",5.0,4.0,3
2007-07-28,English,movie,300,Frank Miller,5.0,5.0,2
2007-07-28,English,movie,The Treasure of Sierra Madre,Humphrey Bogart,3.0,4.0,1
2007-07-28,Japanese,movie,Ran,Akira Kurasawa,5.0,5.0,1
2007-07-26,English,movie,Running Scared,Paul Walker,4.0,4.0,1
2007-07-25,Tamil,movie,Hey Nee Romba Azhaga Irukka,"Shaam, Sneha, Vivek",3.0,3.0,2
2007-07-25,English,movie,Children of Men,Chris Owen,4.0,5.0,1
2007-07-24,English,movie,FX2,"Bryan Brown, Brian Dennehy",3.0,3.0,2
2007-07-24,English,movie,Insomnia,"Christopher Nolan, Al Pacino, Robin Williams",4.0,5.0,1
2007-07-23,English,movie,Runaway Jury,"John Cusack, Rachel Weisz, Gene Hackman, Dustin Hoffman",4.0,4.0,2
2007-07-22,English,movie,Gunga Din,"Cary Grant, Douglas Fairbanks",3.0,3.0,2
2007-07-22,English,movie,High Noon,Gary Cooper,4.0,4.0,2
2007-07-21,English,fiction,Harry Potter and the Deathly Hallows,J K Rowling,4.0,4.0,3
2007-07-21,English,movie,Ed Wood,"Tim Burton, Johnny Depp",2.0,3.0,1
2007-07-21,English,movie,Thank You For Smoking,"Adam Brody, Katie Holmes",4.0,4.0,2
2007-07-21,English,movie,88 Minutes,Al Pacino,4.0,4.0,2
2007-07-21,English,movie,Dirty Harry,Clint Eastwood,3.0,3.0,1
2007-07-20,English,movie,The Big Sleep,"Humphrey Bogart, Howard Hawks",3.0,4.0,1
2007-07-20,English,movie,Die Hard 4.0,Bruce Willis,4.0,3.0,2
2007-07-19,English,movie,His Girl Friday,"Howard Hawks, Cary Grant",3.0,3.0,2
2007-07-19,English,movie,Snatch.,"Guy Ritchie, Brad Pitt",3.0,4.0,1
2007-07-18,English,movie,Blood Diamond,"Leonardo Di Caprio, Jennifer Connelly",3.0,4.0,1
2007-07-17,English,movie,Harry Potter and the Order of the Phoenix,Unknown,2.0,2.0,1
2007-07-17,English,movie,Practical Magic,"Nicole Kidman, Sandra Bullock",1.0,2.0,1
2007-07-17,English,movie,Ghost Rider,Nicholas Cage,2.0,2.0,1
2007-07-16,Hindi,movie,Cheeni Kum,"Amitabh Bachchan, Tabu",4.0,4.0,2
2007-07-06,English,fiction,Flyte,Angie Sage,3.0,3.0,2
2006-06-20,Tamil,movie,Sivaji,"Rajnikanth, Vivek",3.0,3.0,2
2006-06-10,English,movie,Next,"Nicholas Cage, Julianne Moore",2.0,2.0,1
2006-06-05,Tamil,movie,Vyapari,SJ Surya,1.0,2.0,1
2006-06-01,Tamil,movie,Unnale Unnale,Sada,2.0,2.0,1
2006-05-26,Tamil,movie,Mayakannadi,"Cheran, Navya Nair",2.0,2.0,1
2007-05-13,Tamil,movie,Chennai Kadhal,"Bharath, Genelia",3.0,3.0,1
2007-05-08,English,movie,Little Miss Sunshine,Greg Kinnear,4.0,4.0,1
2007-05-05,Tamil,movie,Jay Jay,Madhavan,3.0,2.0,2
2007-05-03,Tamil,movie,Pistha,"Karthik, Nagma",3.0,3.0,2
2007-04-23,English,movie,Wait Until Dark,Audrey Hepburn,4.0,4.0,2
2007-04-22,English,movie,Premonition,Sandra Bullock,2.0,2.0,1
2007-04-18,Tamil,movie,Alwar,"Ajit, Asin",2.0,2.0,1
2007-04-10,English,movie,The Pursuit of Happyness,Will Smith,4.0,5.0,1
2007-04-09,Tamil,movie,Ooty Varai Uravu,"Sivaji Ganesan, K R Vijaya, Balaiyya",3.0,3.0,3
2007-04-08,Hindi,movie,Don,"Shah Rukh Khan, Priyanka Chopra",2.0,2.0,1
2007-04-06,English,movie,The Illusionist,Edward Norton,4.0,4.0,2
2007-04-02,Tamil,movie,Mozhi,"Prakash Raj, Prithviraj, Jyothika",4.0,5.0,3
2007-03-31,Hindi,movie,Guru,"Mani Rathnam, Abhishek Bachchan",4.0,5.0,1
2007-03-24,English,movie,Under Siege,Steven Seagal,3.0,3.0,2
2007-03-20,Tamil,movie,Thamarabharani,"Vishal, Prabhu, Nadiya",3.0,3.0,1
2007-03-17,Tamil,movie,Pachaikili Muthucharam,"Sarath Kumar, Jyothika",4.0,4.0,2
2007-03-14,English,movie,Babel,"Brad Pitt, Cate Blanchett",4.0,4.0,1
2007-03-14,English,movie,The Prestige,"Christopher Nolan, Hugh Jackman, Christian Bale, Michael Caine",5.0,5.0,2
2007-03-14,English,movie,Deja Vu,Denzel Washington,4.0,4.0,2
2007-03-12,Tamil,movie,Thiruvilaiyaadal Aarambam,"Dhanush, Shriya, Prakash Raj",3.0,3.0,2
2007-03-11,English,movie,The Departed,"Jack Nicholson, Leonardo Di Caprio, Matt Damon",4.0,5.0,2
2007-03-10,Tamil,movie,Panchathanthiram,"Kamal Hassan, Simran",5.0,5.0,3
2007-03-06,Tamil,movie,Sathi Leelavathi,"Kamal Hassan, Ramesh Arvind",5.0,5.0,3
2007-02-28,Tamil,movie,Kushi,"Vijay, Jyothika",3.0,4.0,2
2007-02-27,Tamil,movie,Samsaram Adhu Minsaram,"Visu, Lakshmi",4.0,4.0,2
2007-02-26,Tamil,movie,Pokkiri,"Vijay, Asin",4.0,4.0,2
2007-02-17,Tamil,movie,Bama Vijayam,K Balachandar,4.0,4.0,2
2007-02-15,Tamil,movie,Edhir Neechal,"K Balachandar, Nagesh",5.0,5.0,3
2007-02-12,English,movie,Batman Begins,"Christopher Nolan, Christian Bale, Michael Caine, Liam Neeson",4.0,5.0,2
2007-02-10,Tamil,movie,Vasool Raja MBBS,"Kamal Hassan, Sneha, Prakash Raj, Prabhu",4.0,3.0,3
2007-02-10,Tamil,movie,Simla Special,"Kamal, Sripriya, SV Shekar",4.0,3.0,2
2007-02-09,Hindi,movie,Chupke Chupke,"Hrishikesh Mukherji, Dharmendra, Sharmila Tagore",4.0,4.0,3
2007-02-08,English,movie,Heat,"Al Pacino, Robert De Niro",3.0,4.0,1
2007-02-08,English,movie,"Planes, Trains and Automobiles","Steve Martin, John  Candy",4.0,4.0,2
2007-02-07,English,movie,Man on Fire,Denzel  Washington,3.0,3.0,1
2007-02-07,English,movie,The Break-Up,Jennifer Anniston,3.0,3.0,1
2007-02-06,Tamil,movie,Anniyan,"Vikram, Sada",3.0,3.0,2
2007-01-30,English,movie,Mission Impossible,Tom Cruise,4.0,4.0,2
2007-01-29,English,movie,District 13,Unknown,4.0,4.0,2
2007-01-24,Hindi,movie,Lagaan,Aamir Khan,4.0,4.0,2
2007-01-23,Tamil,movie,Padaiyappa,"Rajnikanth, Ramya Krishnan",4.0,4.0,2
2007-01-21,Tamil,movie,Magalir Mattum,"Kamal Hassan, Revathi, Urvashi, Rohini",4.0,4.0,2
2007-01-17,Tamil,movie,Dum Dum Dum,"Madhavan, Jyothika",4.0,3.0,3
2007-01-08,English,movie,Kill Bill: Vol. 2,"Quentin Tarantino, Uma Thurman",4.0,4.0,2
2007-01-07,English,movie,Kill Bill: Vol. 1,"Quentin Tarantino, Uma Thurman",5.0,5.0,2
2007-01-07,English,movie,What Women Want,"Mel Gibson, Helen Hunt",4.0,3.0,3
2007-01-06,Tamil,movie,Mounam Pesiyadhe,"Surya, Trisha",3.0,3.0,1
2007-01-03,English,movie,Ransom,"Mel Gibson, Rene Russo",3.0,3.0,2
2007-01-03,English,movie,Robin Hood: Prince of Thieves,Kevin Costner,3.0,3.0,2
2007-01-01,Tamil,movie,Sivappadhigaram,"Vishal, Raghuvaran",2.0,2.0,1
2006-12-31,Tamil,movie,Thiruvilaiyaadal Aarambam,"Dhanush, Shriya, Prakash Raj",3.0,3.0,2
2006-12-25,Hindi,movie,Dhoom 2,"Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai",3.0,3.0,2
2006-12-24,English,movie,Love Actually,"Hugh Grant, Liam Neeson, Colin Firth",3.0,3.0,3
2006-12-23,English,movie,Legal Eagles,Robert Redford,3.0,3.0,1
2006-12-17,Tamil,movie,Vathiyar,Arjun,2.0,2.0,1
2006-12-15,Tamil,movie,Rendu,Madhavan,3.0,3.0,1
2006-12-12,Tamil,movie,Chandramukhi,"Rajnikanth, Jyothika",3.0,3.0,3
2006-12-11,Tamil,movie,Ullathai Allitha,"Karthik, Rambha",3.0,2.0,3
2006-12-09,English,movie,Hulk,Eric Bana,2.0,2.0,1
2006-12-08,English,movie,Hotel Rwanda,Don Cheadle,4.0,5.0,1
2006-12-07,English,movie,Alien,"Ridley Scott, Sigourney Weaver",2.0,2.0,1
2006-12-06,English,movie,Donnie Darko,Unknown,3.0,3.0,1
2006-12-05,English,movie,Before Sunset,Ethan Hawke,4.0,4.0,1
2006-12-04,English,movie,Before Sunrise,Ethan Hawke,3.0,4.0,1
2006-12-03,English,movie,The Recruit,"Al Pacino, Colin Farrell",3.0,3.0,2
2006-12-03,English,fiction,The Afghan,Frederick Forsyth,3.0,3.0,1
2006-12-01,Hindi,movie,Dhoom,"Abhishek Bachchan, Uday Chopra, John Abraham",3.0,3.0,2
2006-11-30,English,movie,The Man Who Shot Liberty Valance,"James Stewart, John Wayne",4.0,4.0,1
2006-11-28,English,movie,Trading Places,"Eddie Murphy, Dan Ackroyd",3.0,2.0,2
2006-11-27,English,fiction,Cat O Nine Tales,Jeffrey Archer,4.0,4.0,2
2006-11-26,English,movie,District 13,Unknown,4.0,4.0,2
2006-11-26,English,movie,Accepted,Unknown,2.0,2.0,1
2006-11-25,English,movie,Troy,"Brad Pitt, Orlando Bloom",3.0,3.0,1
2006-11-24,Tamil,movie,Varalaru,"Ajit, Asin",3.0,3.0,1
2006-11-23,German,movie,"Untergang, Der",Unknown,3.0,4.0,1
2006-11-22,English,movie,Volcano,"Tommy Lee Jones, Anne Heche",3.0,3.0,2
2006-11-21,English,movie,Good Night and Good Luck,George Clooney,4.0,4.0,2
2006-11-20,English,movie,Paths of Glory,"Stanley Kubrick, Kirk Douglas",4.0,5.0,1
2006-11-19,Japanese,movie,Shichinin no samurai,Akira Kurasawa,3.0,4.0,1
2006-11-17,English,movie,Fargo,"William Macy, Steve Buscemi",3.0,3.0,1
2006-11-16,English,movie,Unforgiven,"Clint Eastwood, Gene Hackman, Morgan Freeman",4.0,5.0,1
2006-11-15,English,movie,Pirates of the Caribbean: Dead Man's Chest,"Johnny Depp, Keira Knightley",3.0,3.0,2
2006-11-14,English,fiction,The Immortals 04: The Realms of the Gods,Tamora Pierce,3.0,3.0,2
2006-11-13,English,fiction,The Immortals 03: Emperor Mage,Tamora Pierce,4.0,4.0,2
2006-11-12,English,fiction,The Immortals 02: Wolf-Speaker,Tamora Pierce,4.0,4.0,2
2006-11-11,English,fiction,The Immortals 01: Wild Magic,Tamora Pierce,3.0,3.0,2
2006-11-10,English,movie,Timeline,Richard Donner,3.0,2.0,2
2006-11-08,English,fiction,The Count of Monte Cristo,Alexandre Dumas,5.0,5.0,2
2006-11-07,English,movie,Mission Impossible 3,"Tom Cruise, Philip Seymour Hoffman",4.0,3.0,2
2006-11-06,English,movie,"Vita è bella, La",Roberto Benigni,5.0,5.0,2
2006-11-05,English,movie,Sin City,"Bruce Willis, Jessica Alba",4.0,4.0,1
2006-11-04,English,movie,The Italian Job,"Mark Walhberg, Charlize Theron, Edward Norton",3.0,3.0,1
2006-11-02,German,movie,Lola Rennt,Unknown,4.0,4.0,1
2006-11-02,English,fiction,The Prisoner of Zenda,Anthony Hope,4.0,4.0,3
2006-11-01,English,fiction,The Circle of Magic 1,Tamora Pierce,2.0,2.0,1
2006-10-31,English,movie,Superman Returns,"Brandon Routh, Kate Bosworth",2.0,2.0,2
2006-10-30,English,movie,The Devil Wears Prada,"Meryl Streep, Anne Hathaway",3.0,3.0,1
2006-10-30,English,fiction,The Song of the Lioness: Lioness Rampant,Tamora Pierce,3.0,3.0,1
2006-10-30,English,movie,V for Vendetta,Natalie Portman,5.0,5.0,2
2006-10-30,English,movie,Léon,"Jean Remo, Natalie Portman",4.0,4.0,1
2006-10-29,English,movie,The Constant Gardener,"Ralph Fiennes, Rachel Weisz",4.0,4.0,2
2006-10-28,Tamil,movie,Thirumalai,"Vijay, Jyothika",3.0,3.0,2
2006-10-27,English,movie,The Third Man,Unknown,3.0,4.0,1
2006-10-26,English,movie,The Conversation,Gene Hackman,3.0,4.0,1
2006-10-25,English,movie,Butch Cassidy and the Sundance Kid,"Paul Newman, Robert Redford",3.0,3.0,1
2006-10-25,English,fiction,The Song Of The Lioness: The Woman Who Rides Like A Man,Tamora Pierce,2.0,2.0,1
2006-10-25,English,movie,Psycho,Alfred Hitchcock,4.0,4.0,1
2006-10-25,English,movie,Cars,"Owen Wilson, Paul Newman",4.0,3.0,2
2006-10-25,English,movie,The Lake House,"Keanu Reeves, Sandra Bullock",2.0,2.0,1
2006-10-24,English,fiction,The Song Of The Lioness: In The Hand Of The Goddess,Tamora Pierce,3.0,3.0,1
2006-10-24,English,fiction,The Song Of The Lioness: The First Adventure,Tamora Pierce,3.0,3.0,1
2006-10-22,English,movie,Master and Commander,"Russell Crowe, Paul Bettany",3.0,3.0,1
2006-10-22,English,movie,The Bridge on the River Kwai,Alec Guinness,4.0,4.0,1
2006-10-21,English,movie,Big Fish,Ewan McGregor,3.0,3.0,1
2006-10-20,English,movie,Indiscreet,"Cary Grant, Ingrid Bergman",4.0,3.0,2
2006-10-19,English,movie,Firewall,"Harrison Ford, Paul Bettany",3.0,3.0,2
2006-10-18,English,movie,Sling Blade,Billy Bob Thornton,3.0,4.0,1
2006-10-18,English,movie,Fistful of Dollars,"Clint Eastwood, Sergio Leone",3.0,3.0,2
2006-10-17,English,fiction,Dragonflight,Anne McCaffrey,3.0,3.0,2
2006-10-17,English,movie,Spy Game,"Robert Redford, Brad Pitt",3.0,3.0,1
2006-10-16,English,movie,Harvey,"James Stewart, Josephine Hull",4.0,3.0,2
2006-10-16,English,movie,Lucky Number Slevin,Bruce Willis,3.0,4.0,1
2006-10-14,English,movie,The Last Castle,Robert Redford,4.0,4.0,2
2006-10-07,English,movie,Click,Adam Sandler,3.0,3.0,1
2006-10-06,English,movie,The Inside Man,"Denzel Washington, Jodie Foster",5.0,5.0,2
2006-10-06,English,movie,X-Men: The Last Stand,"Patrick Stewart, Hugh Jackman, Hale Berry",3.0,3.0,1
2006-10-05,English,movie,The Da Vinci Code,"Ron Howard, Tom Hanks, Audrey Tatou",3.0,3.0,1
2006-10-01,Hindi,movie,Rang Birangi,"Hrishikesh Mukherji, Amol Palekar",3.0,3.0,3
2006-09-30,English,movie,Cool Hand Luke,Paul Newman,3.0,4.0,1
2006-09-30,Tamil,movie,Perarasu,Vijaykanth,2.0,2.0,1
2006-09-27,Hindi,movie,Lage Raho Munnabhai,"Sanjay Dutt, Vidya Balan, Arshad Warsi",3.0,3.0,2
2006-09-21,Hindi,movie,Bawarchi,"Hrishikesh Mukherji, Rajesh Khanna, Jaya Badhuri",4.0,4.0,3
2006-09-17,Tamil,movie,Jillunu Oru Kadhal,"Surya, Jyothika, Bhumika",3.0,3.0,2
2006-09-12,English,movie,50 First Dates,"Adam Sandler, Drew Barrymore",4.0,4.0,2
2006-09-05,Tamil,movie,Vettayadu Vilayadu,"Gautham Menon, Kamal Hassan, Jyothika",3.0,4.0,2
2006-09-04,English,non-fiction,The Art of Software Testing,Glenford J. Myers,4.0,4.0,2
2006-08-28,English,movie,Groundhog Day,"Bill Murray, Annie MacDowell",5.0,4.0,3
2006-08-28,English,movie,The Englishman Who Went Up A Hill But Came Down A Mountain,Hugh Grant,4.0,4.0,2
2006-08-27,Tamil,movie,Thimiru,"Vishal, Reema Sen",2.0,2.0,2
2006-08-21,English,movie,The Pink Panther,"Steve Martin, Kevin Kline",3.0,3.0,2
2006-08-20,Hindi,movie,Kabhi Alvida Na Kehna,"Shah Rukh Khan, Amitabh Bachchan, Abhishek Bachchan",3.0,3.0,1
2006-08-15,English,movie,A Christmas Story,Unknown,3.0,3.0,1
2006-08-15,Tamil,movie,Shah Jahan,Vijay,3.0,3.0,2
2006-08-11,English,movie,Torn Curtain,"Alfred Hitchcock, Paul Newman, Julie Andrews",4.0,4.0,2
2006-08-10,English,movie,FX - Murder by Illusion,"Bryan Brown, Brian Dennehy",3.0,3.0,2
2006-08-10,English,movie,Hatari!,John Wayne,3.0,3.0,2
2006-08-06,English,movie,Chinatown,Jack Nicholson,4.0,4.0,1
2006-08-06,Tamil,movie,Something Something Unakkum Enakkum,"Jayam Ravi, Trisha",4.0,4.0,2
2006-06-06,English,script,Ten Things I Hate About You,"Karen McCullah Lutz, Kirsten Smith",4.0,4.0,2
2006-07-31,English,movie,The Sword in the Stone,Walt Disney,3.0,3.0,1
2006-07-27,English,movie,Singin' in the Rain,Gene Kelly,3.0,3.0,2
2006-07-23,English,movie,My Favourite Wife,"Cary Grant, Irene Dunn",3.0,3.0,1
2006-07-22,Tamil,movie,Kannadi Pookkal,Parthiban,4.0,4.0,1
2006-07-20,English,movie,The Bishop's Wife,"Cary Grant, David Niven",3.0,3.0,2
2006-07-18,English,movie,Holiday,"Cary Grant, Katherine Hepburn",4.0,4.0,2
2006-07-17,English,fiction,Magician,Raymond Feist,3.0,3.0,2
2006-07-14,English,fiction,Talon of the Silver Hawk,Raymond Feist,2.0,2.0,2
2006-07-12,English,fiction,King of Foxes,Raymond Feist,2.0,2.0,1
2006-07-11,English,movie,Strangers on a Train,Alfred Hitchcock,3.0,3.0,2
2006-07-09,Tamil,movie,Jor,"Sathyaraj, Sibiraj",2.0,2.0,2
2006-07-05,English,fiction,The Key,Marianne Curley,3.0,3.0,2
2006-07-04,English,fiction,The Dark,Marianne Curley,3.0,3.0,2
2006-07-03,English,fiction,The Named,Marianne Curley,3.0,3.0,2
2006-07-01,Hindi,movie,Yugpurush,"Nana Patekar, Jackie Shroff, Manisha Koirala",4.0,4.0,1
2006-07-01,Tamil,movie,April Madhathil,"Srikanth, Sneha",3.0,3.0,2
2006-06-29,English,non-fiction,Purple Cow,Seth Godin,2.0,3.0,1
2006-06-28,English,movie,Suspicion,"Alfred Hitchcock, Cary Grant",3.0,3.0,1
2006-06-25,Tamil,movie,Parijatham,K Bhagyaraj,4.0,4.0,2
2006-06-23,English,fiction,Magyk,Angie Sage,3.0,3.0,2
2006-06-22,English,non-fiction,Fermat's Last Theorem,Simon Singh,4.0,4.0,2
2006-06-18,English,fiction,Ptolemy's Gate,Jonathan Stroud,3.0,3.0,2
2006-06-11,English,fiction,The Opal Deception,Eoin Colfer,3.0,3.0,2
2006-06-11,English,fiction,The Eternity Code,Eoin Colfer,3.0,3.0,2
2006-06-04,Tamil,movie,Thiruttu Payale,"Jeevan, Sonia Agarwal",3.0,3.0,2
2006-05-31,Tamil,movie,Edhiri,"Madhavan, Sada",3.0,2.0,2
2006-05-30,Tamil,movie,Kalaba Kadalan,"Arya, Renuka Menon",4.0,4.0,1
2006-05-27,Hindi,movie,Parineeta,"Saif Ali Khan, Vidya Balan",4.0,4.0,2
2006-05-26,English,non-fiction,The New Science of Strong Materials,J E Gordon,4.0,4.0,2
2006-05-25,English,movie,Life of Brian,"Graham Chapman, John Cleese",3.0,3.0,1
2006-05-22,English,non-fiction,Bad Thoughts,Jamie Whyte,3.0,3.0,1
2006-05-21,English,video,Lois and Clark S1E22 - The House of Luthor,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-21,English,video,Lois and Clark S1E21 - Barbarians At The Planet,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-21,English,video,Lois and Clark S1E19 - Vatman,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-21,English,video,Lois and Clark S1E18 - The Rival,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-21,English,video,Lois and Clark S1E15 - Illusions Of Grandeur,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-21,English,video,Lois and Clark S1E14 - Witness,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-21,English,video,Talk by Guido van Rossum at Google 2,Guido van Rossum,3.0,3.0,1
2006-05-21,English,video,Talk on Python at Google 1,Guido van Rossum,3.0,3.0,1
2006-05-20,English,video,Lois and Clark S1E09 - The Green Glow of Home,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-20,English,video,Lois and Clark S1E08 - Smart Kids,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-20,English,video,Lois and Clark S1E07 - I've Got a Crush on You,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-20,English,video,Lois and Clark S1E06 - Requiem for a Superhero,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-20,English,video,Lois and Clark S1E05 - I'm Looking Through You,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-20,English,video,Lois and Clark S1E04 - Neverending Battle,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-20,English,video,Lois and Clark S1E01 - The Pilot,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-19,English,video,Sherlock Holmes - The Sign of Four,Jeremy Brett,3.0,3.0,2
2006-05-18,English,movie,All About Eve,Anne Baxter,4.0,5.0,1
2006-05-18,English,fiction,Tunnel in the Sky,Robert Heinlein,4.0,4.0,2
2006-05-17,Tamil,movie,Kanda Naal Mudhal,"Prasanna, Laila",4.0,4.0,3
2006-05-16,English,movie,Operation Petticoat,"Cary Grant, Tony Curtis",3.0,3.0,2
2006-05-15,English,movie,Taxi Driver,"Martin Scorcese, Robert De Niro",3.0,3.0,1
2006-05-14,English,movie,Sunset Blvd.,Billy Wilder,2.0,3.0,1
2006-05-14,English,movie,Spellbound,"Alfred Hitchcock, Gregory Peck, Ingrid Bergman",3.0,3.0,2
2006-05-13,Tamil,movie,Chithiram Pesudhadi,Mysskin,3.0,3.0,1
2006-05-13,Tamil,movie,Saravana,"Silambarasan, Jyothika, Prakash Raj",3.0,3.0,3
2006-05-11,Tamil,movie,Anjaneya,"Ajit, Meera Jasmine",3.0,3.0,2
2006-05-11,English,movie,Notorious,"Cary Grant, Ingrid Bergman",3.0,3.0,2
2006-05-10,French,movie,"Fabuleux destin d'Amélie Poulain, Le",Audrey Tatou,5.0,5.0,2
2006-05-08,English,movie,Dog Day Afternoon,Al Pacino,4.0,4.0,1
2006-05-07,Tamil,movie,Pachai Kudhirai,"Parthiban, Namitha",1.0,1.0,1
2006-05-06,English,video,President Bush Impersonation,Steve Bridges,2.0,3.0,1
2006-05-06,English,movie,To Catch a Thief,"Alfred Hitchcock, Cary Grant",4.0,4.0,2
2006-05-06,English,video,Lois & Clark S2E02 Wall of Sound,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-05,English,video,Lois & Clark S1E20 Fly Hard,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-05,English,video,Lois & Clark S1E17 Foundling,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-05,English,video,Lois & Clark S1E16 The Ides of Metropolis,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-05,English,video,Lois & Clark S1E13 All Shook Up,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-05,English,video,Lois & Clark S1E12 Honeymoon in Metropolis,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-05,English,video,"Lois & Clark S1E11 Pheromone, My Lovely","Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-05,English,video,Lois & Clark S1E03 Strange Visitor,"Dean Cain, Teri Hatcher",3.0,3.0,2
2006-05-03,Tamil,movie,Kalaba Kadalan,"Arya, Renuka Menon",4.0,4.0,1
2006-05-03,English,movie,Kill Bill: Vol. 2,"Quentin Tarantino, Uma Thurman",4.0,4.0,2
2006-05-03,English,movie,Kill Bill: Vol. 1,"Quentin Tarantino, Uma Thurman",5.0,5.0,2
2006-05-03,English,video,Superman at Umich,Unknown,3.0,3.0,2
2006-05-01,English,movie,It Happened One Night,Clark Gable,4.0,4.0,3
2006-05-01,English,movie,The Sting,"Paul Newman, Robert Redford",4.0,5.0,1
2006-05-01,English,movie,A Fish Called Wanda,"John Cleese, Jamie Lee Curtis, Kevin Kline",3.0,3.0,1
2006-05-01,Tamil,movie,Thirupathi,"Ajit, Sada",1.0,2.0,1
2006-04-30,English,video,The banana proves God,Unknown,3.0,3.0,2
2006-04-30,Tamil,movie,Dishoom,"Jeeva, Sandhya",2.0,3.0,1
2006-04-29,English,movie,How to Steal a Million,"Peter O Toole, Audrey Hepburn",4.0,4.0,3
2006-04-29,English,movie,The Absent Minded Professor,Robert Stevenson,3.0,3.0,2
2006-04-28,Tamil,movie,Thambi,Madhavan,3.0,3.0,1
2006-04-28,English,movie,Arsenic and Old Lace,"Frank Capra, Cary Grant",4.0,4.0,2
2006-04-27,English,movie,I Was A Male War Bride,Cary Grant,3.0,3.0,2
2006-04-26,English,movie,Revenge of the Sith,George Lucas,4.0,4.0,2
2006-04-26,English,fiction,The Arctic Incident,Eoin Colfer,3.0,3.0,1
2006-04-25,English,fiction,Artemis Fowl,Eoin Colfer,4.0,4.0,2
2006-04-25,English,movie,Return of the Jedi,"George Lucas, Harrison Ford",4.0,4.0,2
2006-04-24,Tamil,movie,Azhagai Irukkirai Bayamai Irukkiradhu,Bharath,3.0,4.0,2
2006-04-23,English,movie,Mr. Smith Goes to Washington,James Stewart,4.0,4.0,2
2006-04-23,Tamil,movie,Thiruppachi,"Vijay, Trisha",2.0,2.0,1
2006-04-23,Japanese,video,How to tie a bandage,Unknown,3.0,3.0,2
2006-04-22,English,movie,Rope,"Alfred Hitchcock, James Stewart",4.0,4.0,1
2006-04-21,English,movie,To Kill a Mockingbird,Gregory Peck,5.0,5.0,2
2006-04-20,English,movie,The Man Who Knew Too Much,"Alfred Hitchcock, James Stewart",4.0,4.0,2
2006-04-20,English,movie,The Philadelphia Story,"Cary Grant, James Stewart, Catherine Hepburn",4.0,4.0,2
2006-04-19,English,movie,Bringing up Baby,"Cary Grant, Katherine Hepburn",3.0,4.0,2
2006-04-19,English,video,The Da Vinci Code - Fact or Fiction,Unknown,3.0,4.0,1
2006-04-18,Tamil,movie,Anjali,"Mani Rathnam, Revathi, Raghuvaran",4.0,5.0,2
2006-04-18,Tamil,movie,Roja Kootam,Srikanth,3.0,3.0,1
2006-04-17,English,video,The pleasure of finding things out,Richard Feynman,3.0,3.0,1
2006-04-16,English,non-fiction,The Search,John Battelle,4.0,3.0,2
2006-04-16,Tamil,movie,Ullathai Allitha,"Karthik, Rambha",3.0,2.0,3
2006-04-15,English,movie,Chocolat,"Juliette Binoche, Johnny Depp",4.0,4.0,2
2006-04-15,English,movie,Harry Potter and the Chamber of Secrets,Chris Columbus,3.0,3.0,2
2006-04-15,English,movie,Michael,John Travolta,1.0,2.0,1
